id	hunter	status	typesample	serial	year	manufacturer	model	twdb_url	image	images
5643	Ramsr	My Collection	NONE	5754078	1961	Hermes	Rocket	http://typewriterdatabase.com/1961-hermes-rocket.5643.typewriter	http://typewriterdatabase.com/img/thumbs/ghermes _5643_1451614246.jpg	0
5644	Ramsr	My Collection	NONE	5721951	1960	Hermes	Rocket	http://typewriterdatabase.com/1960-hermes-rocket.5644.typewriter	http://typewriterdatabase.com/img/thumbs/ghermes _5644_1451614325.jpg	0
5645	Ramsr	My Collection	NONE	RP 84037	1911	Remington	11	http://typewriterdatabase.com/1911-remington-11.5645.typewriter	http://typewriterdatabase.com/img/thumbs/gremington _5645_1451614477.jpg	0
5646	Ramsr	My Collection	http://typewriterdatabase.com/img/troyal _5646_1451614690.jpg	QX 696203	1923	Royal	10	http://typewriterdatabase.com/1923-royal-10.5646.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5646_1451614689.jpg	4
5647	Ramsr	My Collection	NONE	95628	1905	Smith Premier	2	http://typewriterdatabase.com/1905-smith-premier-2.5647.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-premier _5647_1451614928.jpg	2
5648	Ramsr	My Collection	NONE	11002	1900	Smith Premier	4	http://typewriterdatabase.com/1900-smith-premier-4.5648.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-premier _5648_1451615103.jpg	1
5649	Ramsr	My Collection	NONE	8889	1907	Smith Premier	5	http://typewriterdatabase.com/1907-smith-premier-5.5649.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-premier _5649_1451615454.jpg	5
5650	Ramsr	My Collection	NONE	15712	1905	Fox	3	http://typewriterdatabase.com/1905-fox-3.5650.typewriter	http://typewriterdatabase.com/img/thumbs/gfox _5650_1451615693.jpg	2
5651	Ramsr	My Collection	NONE	62696	1903	Smith Premier	2	http://typewriterdatabase.com/1903-smith-premier-2.5651.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-premier _5651_1451615900.jpg	7
5652	Ramsr	My Collection	http://typewriterdatabase.com/img/tremington _5652_1451616235.jpg	160974	1908	Remington	6	http://typewriterdatabase.com/1908-remington-6.5652.typewriter	http://typewriterdatabase.com/img/thumbs/gremington _5652_1451616235.jpg	3
5653	Ramsr	My Collection	http://typewriterdatabase.com/img/tcaligraph _5653_1451616730.jpg	1615-9	1900	Caligraph	New Century No 5	http://typewriterdatabase.com/1900-caligraph-new-century-no-5.5653.typewriter	http://typewriterdatabase.com/img/thumbs/gcaligraph _5653_1451616729.jpg	5
5654	Ramsr	My Collection	http://typewriterdatabase.com/img/tlc-smith _5654_1451617103.jpg	K 416341 G	1921	Azmatype (L.C. Smith)	8	http://typewriterdatabase.com/1921-azmatype-lc-smith-8.5654.typewriter	http://typewriterdatabase.com/img/thumbs/glc-smith _5654_1451617103.jpg	7
5657	kathwrites1	My Collection	NONE	891.1900	1962	Sears	Tower Challenger	http://typewriterdatabase.com/1962-sears-tower-challenger.5657.typewriter	NONE	0
5658	Ramsr	My Collection	http://typewriterdatabase.com/img/tsmith-corona _5658_1451765492.jpg	5T 215094	1955	Smith Corona	Silent-Super	http://typewriterdatabase.com/1955-smith-corona-silentsuper.5658.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-corona _5658_1451765491.jpg	0
5659	Ramsr	My Collection	http://typewriterdatabase.com/img/tunderwood _5659_1451765802.jpg	F 1665265	1948	Underwood	Champion	http://typewriterdatabase.com/1948-underwood-champion.5659.typewriter	http://typewriterdatabase.com/img/thumbs/gunderwood _5659_1451765802.jpg	7
5660	Ramsr	My Collection	http://typewriterdatabase.com/img/troyal _5660_1451766146.jpg	P 34231	1928	Royal	P	http://typewriterdatabase.com/1928-royal-p.5660.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5660_1451766146.jpg	0
5661	Ramsr	My Collection	http://typewriterdatabase.com/img/tmonarch _5661_1451766434.jpg	113881	1914	Monarch	3	http://typewriterdatabase.com/1914-monarch-3.5661.typewriter	http://typewriterdatabase.com/img/thumbs/gmonarch _5661_1451766434.jpg	2
5662	Ramsr	My Collection	http://typewriterdatabase.com/img/t _5662_1451767228.jpg	71769-2	1910	L.C. Smith	2	http://typewriterdatabase.com/1910-lc-smith-2.5662.typewriter	http://typewriterdatabase.com/img/thumbs/glc-smith _5662_1451766971.jpg	5
5663	mre12ax7	My Collection	NONE	2337918-5	1928	Underwood	5	http://typewriterdatabase.com/1928-underwood-5.5663.typewriter	http://typewriterdatabase.com/img/thumbs/gunderwood _5663_1451767053.jpg	0
5664	Ramsr	My Collection	http://typewriterdatabase.com/img/troyal _5664_1451767412.jpg	151650	1914	Royal	5	http://typewriterdatabase.com/1914-royal-5.5664.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5664_1451767411.jpg	2
5665	Ramsr	My Collection	http://typewriterdatabase.com/img/troyal _5665_1451767557.jpg	75671	1912	Royal	1	http://typewriterdatabase.com/1912-royal-1.5665.typewriter	http://typewriterdatabase.com/img/thumbs/groyal _5665_1451767556.jpg	2
5666	Ramsr	My Collection	http://typewriterdatabase.com/img/tsmith-premier _5666_1451767753.jpg	40052	1911	Smith Premier	10 A	http://typewriterdatabase.com/1911-smith-premier-10-a.5666.typewriter	http://typewriterdatabase.com/img/thumbs/gsmith-premier _5666_1451767753.jpg	4
